2Theta,Count
44.7288774832,25368.1005997
44.739198302,26427.4358913
44.7520993255,27545.0544997
44.7739137834,29672.2969278
44.794555421,31654.8217347
44.8151970586,33539.3644945
44.8452994468,36760.0257067
44.860780675,38294.7680062
44.879487159,39951.819857
44.903855759,41531.4789202
44.9322380106,42777.384227
44.9510366449,43341.4194619
44.9742584872,44468.0761447
45.0000605341,44763.3403488
45.0195293514,44078.8051524
45.040170989,43469.9511593
45.0633928313,42836.2288492
45.0814542642,41447.1295396
45.1003757653,39491.5424458
45.1152119423,39140.0447406
45.1269662082,38596.275321
45.1347068223,38322.1898884
45.1476078458,36777.7840846
45.1605088693,34719.3301323
45.1682494834,33519.0640355
45.1759900974,32228.5042639
45.1863109162,31076.240521
45.196631735,30054.798307
45.2062153525,29030.369096
45.2182563078,28044.1071064
45.2337375359,25478.4835074
45.2498638153,23166.1651279
45.2667784906,20853.8542426
45.278573712,19535.7893978
45.2940549402,18216.2483109
45.3132221751,16853.9794161
45.3297354852,15620.4208302
45.3452167134,15028.1461239
45.365858351,13852.5047944
45.3820767805,13286.4610012
45.4135552778,12342.6996267
45.4419375295,11654.5918993
45.4851559582,10804.2157851
45.536874728,10239.7014434
45.6048312881,9722.52590673
45.6796572243,9376.51542867
45.758537768,9023.63985071
45.8632940788,8820.80436727
45.9716626761,7985.94749762
46.0792940721,7747.90924856
46.2160449211,7157.18462719
46.3393787057,7022.17149207
46.4934537863,6790.34549576
46.6346613525,6725.45073884
46.793085921,6660.20491623
46.9378119482,6595.25330205
47.0977846395,6549.09412674
47.2551771262,6525.75700915
47.4151498175,6517.34436455
47.5740904269,6498.88927875
47.7429095343,6489.42549156
47.904055046,6478.31491429
48.0743485561,6476.45701975
48.2324782441,6518.5447694
48.3879942182,6579.80344887
48.532854282,6473.90083206
48.6888393842,6570.96899349
48.8346209497,6493.38503424
48.9894332316,6611.07621529
49.135097515,6550.87441192
49.2935220835,6675.15590668
49.4479657648,6761.19893599
49.6027780467,6877.31884998
49.7395288957,7002.78498245
49.8748723604,7246.80518849
50.0038825953,7470.53738679
50.1273638202,7955.4627537
50.2382865595,8447.29429382
50.3221432123,8958.56357173
50.4072899673,9722.9952012
50.4757826739,10445.9956709
50.5336939349,11487.82063
50.5775574147,12469.6473818
