2Theta,Count
51.7899268975,3032.75693015
51.8068995046,2903.37725402
51.8261118567,2769.346606
51.8476010146,2634.27840896
51.869108399,2500.98730511
51.8905926965,2365.44521654
51.9178240526,2232.67607687
51.9462709101,2106.90526695
51.9785933496,1957.55671342
52.0170797205,1829.32358138
52.0700263574,1702.71581263
52.1329318116,1591.2665513
52.2095493373,1478.58760223
52.2903308303,1370.44847318
52.3873628534,1285.55326761
52.4985824596,1201.18553977
52.621441115,1136.49456254
52.7642094822,1080.10754697
52.911934532,1031.20804781
53.0718705772,1000.40049016
53.2299930905,969.070397673
53.3941003576,956.254320427
53.5711270094,941.96698813
53.7219956409,931.935372919
53.9055241065,939.266839296
54.0682377983,924.39284255
54.242154468,931.28386321
54.4044554792,920.778736198
54.569108481,916.566569632
54.7227271009,907.027497827
54.8876856151,900.741925663
55.0439816209,899.485049911
55.2067638143,891.289961803
55.3703444156,883.894250815
55.5722651666,881.148153597
55.7413263468,860.68116608
55.9380012011,856.234104245
56.1345499882,839.49548106
56.3595655301,832.741706676
56.559167019,816.273368735
56.7848750703,817.565634462
57.00157655,803.084785414
57.2423731135,799.286557885
57.4634770324,787.107838698
57.6829336141,773.618106428
57.9040848354,766.051367232
58.137362114,761.922929096
58.3523783929,761.555890999
58.553803485,753.929696407
58.7530935937,749.003660315
58.9739864963,748.111728772
59.1915826994,746.524374439
59.4139963946,753.721875328
59.6119723893,748.692506266
59.8300140229,756.549699304
60.0496953993,764.977449924
60.2704348849,775.195342336
60.4717856208,780.594516032
60.6937607385,789.635933389
60.894928518,797.471961679
61.1019823147,811.491839377
61.313013435,828.797960679
61.5094900751,834.761824727
61.7062431519,837.941454573
61.9312114349,852.068629526
62.1274746719,852.094101195
62.3223894445,854.459959052
62.5111334969,847.213533559
62.7102195781,854.834985093
62.8971891493,840.8324703
63.1167566094,838.153388373
63.3316990706,830.589122787
63.5196540172,812.298960533
63.7285460076,809.550085929
63.9114134553,797.03752709
64.0940094568,789.919845678
64.3033380177,795.751653691
64.4926664902,788.715913851
64.6848619052,793.575732164
64.8677870704,786.690635148
65.0592214329,794.393219893
65.2514201388,799.573902258
65.4426690871,801.36366295
65.6515009732,803.374902833
65.8453134923,806.598016132
66.0497019944,810.811245917
66.2441964921,816.805518004
66.4379627938,815.522430671
66.6530442328,821.508500789
66.8680532717,820.435561779
67.1013699147,820.145151334
67.3336378609,818.982315158
67.5669603263,819.259587264
67.8012021716,819.965959031
68.0464507393,830.253902529
68.2734379433,818.199775152
68.5220775851,825.061025704
68.7789315637,825.677996012
69.0184257935,822.345718416
69.2546815475,821.870785374
69.4735219328,812.023649363
69.6981430714,811.42077429
69.9043237037,797.077399349
70.1065580843,787.25643251
70.3077546536,777.624359494
70.5079285313,769.655359894
70.7412973226,774.449410569
70.9700054212,770.87813672
71.2003255971,765.180046834
71.4503430829,768.317299842
71.7043929139,771.657453932
71.9560410292,774.476717917
72.2068009305,784.86170634
72.450065397,795.471818551
72.6972652758,810.640241117
72.9444566626,824.980699802
73.1916237472,836.951700877
73.4281598654,838.323571267
73.6497103794,850.571343218
73.8676300033,865.649113318
74.0783647786,893.887693962
74.2719282009,933.005515179
74.4725565995,995.420283367
74.657802213,1066.09482455
74.8334997731,1135.10960625
74.9977265013,1222.57214517
75.1375472835,1324.84780835
75.2569616183,1444.72983261
75.3703652772,1588.17564195
75.4796621799,1742.57200089
75.5652898213,1883.90622859
75.6399881116,2030.15405065
75.7114449065,2129.40344054
75.7716469224,2232.2820352
75.831386923,2283.03394391
75.9028037424,2332.36445652
75.9604313599,2343.54357705
76.0210598565,2326.04460099
76.078501382,2276.59857733
76.1295490172,2198.4845468
76.176664568,2083.92177767
76.231595481,1963.15578876
76.2898203451,1809.5403368
76.3588642857,1680.61662938
76.4503982558,1524.82999914
76.5376966686,1412.74903434
76.6466219006,1302.92525637
76.7646003847,1208.46979058
76.8953538906,1121.78404969
77.0479171905,1053.95650296
77.1959627246,991.699004263
77.3647726056,946.730344151
77.5427331749,914.239700945
77.7288475606,899.694876541
77.9086687617,887.541419635
78.0889944276,887.885002824
